GCA_900128725.1,Buchnera aphidicola
GCA_011422565.1,Salmonella enterica subsp. enterica serovar Potsdam
GCA_016966335.1,Salmonella enterica subsp. enterica serovar Rubislaw
GCA_010015225.1,Salmonella enterica subsp. enterica serovar Thompson
GCA_027474565.1,Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum
GCA_000953595.1,Salmonella enterica subsp. enterica serovar Pullorum
GCA_010749735.1,Salmonella enterica subsp. enterica serovar Abortusequi
GCA_016948975.1,Salmonella enterica subsp. enterica serovar Heidelberg
GCA_019465355.1,Salmonella enterica subsp. enterica serovar Ordonez
GCA_003074975.2,Serratia liquefaciens
GCA_009909425.1,Serratia marcescens
GCA_032014825.1,Serratia sp. (in: enterobacteria)
GCA_028616745.1,Serratia odorifera
GCA_013836485.1,Shigella boydii
GCA_013847205.1,Shigella dysenteriae
GCA_013748555.1,Shigella flexneri
GCA_016858385.1,Shigella sonnei
GCA_003454575.1,Shigella sp.
GCA_020513815.1,Xenorhabdus nematophila
GCA_000754985.1,Yersinia enterocolitica
GCA_000834515.1,Yersinia intermedia
GCA_009909645.1,Yersinia pestis
GCA_017498835.1,Yersinia pseudotuberculosis
GCA_001131685.1,Yersinia bercovieri
GCA_020026015.1,Edwardsiella tarda
GCA_029873495.1,Arsenophonus nasoniae
GCA_014169715.1,Aeromonas hydrophila
GCA_019394985.1,Aeromonas salmonicida
GCA_018359945.1,Aeromonas sobria
GCA_017988655.1,Aeromonas sp.
GCA_014162015.1,Aeromonas caviae
GCA_000819865.1,Aeromonas eucrenophila
GCA_016902955.1,Aeromonas jandaei
GCA_014109865.1,Aeromonas media
GCA_001447335.1,Aeromonas schubertii
GCA_016902855.1,Aeromonas veronii
GCA_000819685.1,Aeromonas allosaccharophila
GCA_001676135.1,Photobacterium phosphoreum
GCA_000950085.1,Photobacterium angustum
GCA_000834085.1,Vibrio alginolyticus
GCA_017126015.1,Vibrio cholerae
GCA_014647395.1,Aliivibrio fischeri
GCA_014525215.1,Vibrio harveyi
GCA_009991435.1,Vibrio parahaemolyticus
GCA_017290195.1,Vibrio vulnificus
GCA_014525045.1,Grimontia hollisae
GCA_000736955.1,Vibrio mimicus
GCA_022113885.1,Vibrio cincinnatiensis
GCA_017604105.1,Vibrio fluvialis
GCA_009992925.1,Vibrio sp.
GCA_000818355.1,Vibrio campbellii
GCA_011806485.1,Vibrio diazotrophicus
GCA_000710445.1,Vibrio cholerae O1 biovar El Tor
GCA_023920225.1,Vibrio gazogenes
GCA_001691055.1,Aliivibrio logei
GCA_002214345.1,Vibrio mediterranei
GCA_001680065.1,Vibrio natriegens
GCA_947495615.1,Vibrio nereis
GCA_017356085.1,Plesiomonas shigelloides
GCA_017160755.1,Aggregatibacter actinomycetemcomitans
GCA_000817525.1,Actinobacillus pleuropneumoniae
GCA_002081635.1,Actinobacillus suis
GCA_900636745.1,Actinobacillus equuli
GCA_900635785.1,Actinobacillus lignieresii
GCA_002263215.1,Actinobacillus seminis
GCA_900445035.1,Actinobacillus ureae
GCA_008586745.1,Haemophilus influenzae biotype aegyptius
GCA_018373215.1,Haemophilus haemolyticus
GCA_010367335.1,Haemophilus influenzae
GCA_015354825.1,Avibacterium paragallinarum
GCA_905373805.1,Haemophilus parainfluenzae
GCA_001647815.1,[Haemophilus] ducreyi
GCA_014202395.1,Histophilus somni
GCA_001680805.1,Aggregatibacter aphrophilus
GCA_002015075.1,Canicola haemoglobinophilus
GCA_002015115.1,Haemophilus paracuniculus
GCA_018373095.1,Haemophilus parahaemolyticus
GCA_900451065.1,Haemophilus paraphrohaemolyticus
GCA_017352235.1,Glaesserella parasuis
GCA_003130345.1,Aggregatibacter segnis
GCA_019423045.1,Haemophilus sp.
GCA_016916875.1,Pasteurella multocida
GCA_022784885.1,[Pasteurella] aerogenes
GCA_001678565.1,Gallibacterium anatis
GCA_900454535.1,Avibacterium avium
GCA_900454515.1,Pasteurella bettyae
GCA_020034555.1,Pasteurella canis
GCA_900186835.1,Pasteurella dagmatis
GCA_002921135.1,Avibacterium gallinarum
GCA_900454475.1,[Pasteurella] mairii
GCA_000730685.1,Rodentibacter pneumotropicus
GCA_018457225.1,Pasteurella sp.
GCA_900454705.1,Pasteurella testudinis
GCA_900635775.1,Avibacterium volantium
GCA_002849365.1,Anaplasma marginale
GCA_001625425.1,Bartonella bacilliformis
GCA_000723245.1,Coxiella burnetii
GCA_002019755.1,Ehrlichia ruminantium
GCA_020726135.1,Rickettsia conorii
GCA_001602215.1,Rickettsia prowazekii
GCA_001950995.1,Rickettsia rickettsii
GCA_900327255.1,Orientia tsutsugamushi
GCA_945861605.1,Rickettsia typhi
GCA_005791235.1,Rickettsia sp.
GCA_902810555.1,Bartonella quintana
GCA_002022705.1,Bartonella elizabethae
GCA_000590575.1,Chlamydia trachomatis
GCA_000218345.1,Bacteroides fragilis
GCA_000937835.1,Bacteroides thetaiotaomicron
GCA_017851235.1,Bacteroides uniformis
GCA_018375835.1,Phocaeicola vulgatus
GCA_905196755.1,Parabacteroides distasonis
GCA_018374135.1,Campylobacter gracilis
GCA_900456835.1,Sebaldella termitidis
GCA_000597825.1,Campylobacter ureolyticus
GCA_905235935.1,Butyrivibrio fibrisolvens
GCA_902761355.1,Fibrobacter succinogenes
GCA_900157215.1,Porphyromonas gingivalis
GCA_015060625.1,Prevotella ruminicola
GCA_905372105.1,Hoylesella loescheii
GCA_900637325.1,Wolinella succinogenes
GCA_019424645.1,Oxalobacter formigenes
GCA_946997625.1,Fusobacterium gonidiaformans
GCA_016900045.1,Fusobacterium mortiferum
GCA_901873415.1,Fusobacterium nucleatum
GCA_021531595.1,Fusobacterium perfoetens
GCA_905196305.1,Faecalibacterium prausnitzii
GCA_026089295.1,Fusobacterium simiae
GCA_905193615.1,Fusobacterium varium
GCA_900450765.1,Fusobacterium necrogenes
GCA_018205295.1,Fusobacterium necrophorum
GCA_905371555.1,Fusobacterium periodonticum
GCA_905201875.1,Fusobacterium ulcerans
GCA_002398275.1,Syntrophomonas wolfei
GCA_014076555.1,Pectinatus frisingensis
GCA_900115655.1,Ruminobacter amylophilus
GCA_003390435.1,Dichelobacter nodosus
GCA_017815575.1,Desulfovibrio desulfuricans
GCA_905198555.1,Desulfovibrio vulgaris
GCA_000195755.1,Desulfovibrio vulgaris str. Hildenborough
GCA_017537785.1,Desulfovibrio sp.
GCA_013371475.1,Desulfuromonas acetoxidans
GCA_012026975.1,Desulfuromonas sp.
GCA_002748755.1,Desulfobulbus propionicus
GCA_018055065.1,Desulfobulbus sp.
GCA_001854245.1,Desulfococcus multivorans
GCA_016902435.1,Desulfovibrio piger
GCA_019424755.1,Acidaminococcus fermentans
GCA_016899685.1,Megasphaera elsdenii
GCA_024171415.1,Nitrobacter winogradskyi
GCA_937872045.1,Nitrosomonas europaea
GCA_900100815.1,Nitrosomonas eutropha
GCA_900110145.1,Nitrosomonas marina
GCA_018854355.1,Acidithiobacillus ferrooxidans
GCA_003241695.1,Starkeya novella
GCA_023555385.1,Guyparkeria hydrothermalis
GCA_017304055.1,Thiobacillus sp.
GCA_002028405.1,Thiomonas intermedia
GCA_020721525.1,Halothiobacillus neapolitanus
GCA_018853795.1,Acidithiobacillus thiooxidans
GCA_009992535.1,Thiomicrospira sp.
GCA_025449375.1,Thiovulum sp.
GCA_025062355.1,Hydrogenobacter thermophilus
GCA_021869995.1,Ehrlichia canis
GCA_000968465.1,Anaplasma phagocytophilum
GCA_012790675.1,Anaplasma platys
GCA_014129655.1,Wolbachia pipientis
GCA_028803175.1,Wolbachia sp.
GCA_000691605.1,Bdellovibrio bacteriovorus
GCA_945883845.1,Bacteriovorax stolpii
GCA_022493935.1,Herbaspirillum seropedicae
GCA_900182785.1,Oceanospirillum linum
GCA_902781305.1,Selenomonas ruminantium
GCA_900197635.1,Cellulophaga lytica
GCA_900142775.1,Flavobacterium flevense
GCA_032678725.1,Pedobacter heparinus
GCA_001879205.1,Flavobacterium johnsoniae
GCA_004104035.1,Leeuwenhoekiella marinoflava
GCA_003337725.1,Marinilabilia salmonicolor
GCA_003254275.1,Breznakibacter xylanolyticus
GCA_000737695.1,Flavobacterium hydatis
GCA_014844315.1,Flavobacterium columnare
GCA_900113045.1,Thermoflexibacter ruber
GCA_900119105.1,Chitinophaga sancti
GCA_020719185.1,Marivirga tractuosa
GCA_027594745.1,Saprospira grandis
GCA_900187125.1,Sphingobacterium mizutaii
GCA_900460495.1,Weeksella virosa
GCA_030523905.1,Bergeyella zoohelcum
GCA_905372655.1,Capnocytophaga gingivalis
GCA_905371985.1,Capnocytophaga ochracea
GCA_905373265.1,Capnocytophaga sputigena
GCA_017116225.1,Beggiatoa alba
GCA_937146665.1,Marinoscillum furvescens
GCA_900177665.1,Marivirga sericea
GCA_002746895.1,Thiothrix nivea
GCA_020056385.1,Thiothrix sp.
GCA_017308545.1,Afipia felis
GCA_013822025.1,Erythrobacter sp.
GCA_000715015.1,Erythrobacter longus
GCA_016583515.1,Marichromatium gracile
GCA_016584135.1,Allochromatium vinosum
GCA_022229325.1,Halorhodospira halochloris
GCA_016653405.1,Halorhodospira halophila
GCA_016584105.1,Ectothiorhodospira shaposhnikovii
GCA_016583935.1,Thiococcus pfennigii
GCA_900106925.1,Thiocapsa roseopersicina
GCA_014622665.1,Rhodobacter capsulatus
GCA_016711185.1,Rhodobacter sp.
GCA_012647365.1,Cereibacter sphaeroides
GCA_014197755.1,Rhodocyclus tenuis
GCA_016653115.1,Rhodocyclus purpureus
GCA_002198685.1,Rhodomicrobium vannielii
GCA_002937115.1,Rhodopila globiformis
GCA_002937135.1,Rhodoblastus acidophilus
GCA_003071405.1,Fuscovulum blasticum
GCA_016215605.1,Rhodopseudomonas palustris
GCA_016124795.1,Rhodopseudomonas sp.
GCA_001459775.1,Blastochloris viridis
GCA_016584005.1,Afifella marina
GCA_900108475.1,Magnetospirillum fulvum
GCA_019134555.1,Rhodospirillum rubrum
GCA_016653215.1,Rhodothalassium salexigens
GCA_016583505.1,Rhodovibrio salinarum
GCA_016583645.1,Rhodovibrio sodomensis
GCA_013335335.1,Chlorobium limicola
GCA_003968655.1,Chlorobium phaeovibrioides
GCA_020035305.1,Chlorobium sp.
GCA_014384625.1,Chlorobium phaeobacteroides
GCA_018399735.1,Prosthecochloris vibrioformis
GCA_020721225.1,Pelodictyon luteolum
GCA_011054385.1,Prosthecochloris aestuarii
GCA_003514535.1,Chloroflexus aurantiacus
GCA_001663175.1,Erythrobacter neustonensis
GCA_014359685.1,Porphyrobacter sp.
GCA_947497765.1,Microcystis aeruginosa
GCA_014383055.1,Synechococcus sp.
GCA_014698905.1,Synechococcus elongatus PCC 7942 = FACHB-805
GCA_000478825.2,Synechocystis sp. PCC 6714
GCA_000270265.1,Synechocystis sp. PCC 6803
GCA_004292845.1,Oscillatoriales cyanobacterium
GCA_003249035.1,Pseudanabaena sp.
GCA_011390265.1,Spirulina sp.
GCA_011390515.1,Oscillatoria sp.
GCA_903969095.1,Planktothrix agardhii
GCA_936929965.1,Trichormus azollae
GCA_000300115.1,Tolypothrix sp. PCC 7601
GCA_025999015.1,Fischerella sp.
GCA_011390555.1,Phormidium sp.
GCA_913057915.1,Trichodesmium erythraeum
GCA_903834055.1,uncultured cyanobacterium
GCA_005787545.1,Prochlorococcus marinus
GCA_019651555.1,Prochlorococcus sp.
GCA_007990675.1,Nitrosococcus oceani
GCA_900111585.1,Nitrosospira multiformis
GCA_900109785.1,Nitrosovibrio tenuis
GCA_014622645.1,Piscirickettsia salmonis
GCA_019420445.1,Leuconostoc gelidum
GCA_014060975.1,Leuconostoc mesenteroides
GCA_000709265.1,Leuconostoc lactis
GCA_001867445.1,Oenococcus oeni
GCA_018991665.1,Weissella paramesenteroides
GCA_018993745.1,Leuconostoc fallax
GCA_008689755.1,Leuconostoc carnosum
GCA_017116945.1,Pediococcus acidilactici
GCA_015612965.1,Pediococcus pentosaceus
GCA_016791605.1,Peptoniphilus asaccharolyticus
GCA_018371055.1,Finegoldia magna
GCA_015548685.1,Peptostreptococcus anaerobius
GCA_018369655.1,Peptostreptococcus sp.
GCA_002395985.1,Ruminococcus albus
GCA_902760805.1,Ruminococcus flavefaciens
GCA_018917345.1,Sarcina ventriculi
GCA_009769145.2,Micrococcus luteus
GCA_012800235.1,Micrococcus sp.
GCA_002250745.2,Kocuria varians
GCA_946222195.1,Micrococcus lylae
GCA_011250525.1,Dermacoccus nishinomiyaensis
GCA_900452325.1,Kocuria rosea
GCA_016889285.1,Kytococcus sedentarius
GCA_902713765.1,Staphylococcus aureus
GCA_001701005.1,Staphylococcus carnosus
GCA_016834495.1,Staphylococcus epidermidis
GCA_017355005.1,Staphylococcus haemolyticus
GCA_003970475.1,Staphylococcus hyicus
GCA_002374195.1,Staphylococcus intermedius
GCA_018408165.1,Staphylococcus simulans
GCA_000953575.1,Staphylococcus xylosus
GCA_017315645.1,Staphylococcus hominis
GCA_015235035.1,Staphylococcus warneri
GCA_018997025.1,Staphylococcus gallinarum
GCA_014634965.1,Staphylococcus muscae
GCA_011137155.1,Staphylococcus schleiferi
GCA_016891805.1,Mammaliicoccus sciuri
GCA_008329785.1,Deinococcus radiodurans
GCA_000959925.1,Streptococcus gordonii
GCA_905372945.1,Streptococcus oralis
GCA_905196325.1,Streptococcus salivarius
GCA_015265025.1,Streptococcus sanguinis
GCA_017510125.1,Streptococcus sp.
GCA_016905085.1,Streptococcus suis
GCA_017156775.1,Streptococcus thermophilus
GCA_905193455.1,Streptococcus mutans
GCA_900475365.1,Streptococcus sobrinus
GCA_000730255.1,Streptococcus agalactiae
GCA_016878905.1,Streptococcus pneumoniae
GCA_009887445.1,Streptococcus pyogenes
GCA_905373105.1,Streptococcus parasanguinis
GCA_002073795.2,Streptococcus sp. 'group B'
GCA_017851555.1,Blautia hansenii
GCA_016899495.1,Faecalicoccus pleomorphus
GCA_015235385.1,Streptococcus acidominimus
GCA_016903355.1,Streptococcus anginosus
GCA_010721575.1,Streptococcus canis
GCA_900459215.1,Streptococcus criceti
GCA_011327345.1,Streptococcus dysgalactiae
GCA_000731085.1,Streptococcus equinus
GCA_009928295.1,Streptococcus equi
GCA_022776605.1,Streptococcus hyointestinalis
GCA_013267515.1,Streptococcus intermedius
GCA_013697155.1,Streptococcus porcinus
GCA_008803015.1,Streptococcus ratti
GCA_018373635.1,Streptococcus vestibularis
GCA_945873255.1,Streptococcus ferus
GCA_001654755.1,Streptococcus iniae
GCA_000691825.1,Streptococcus parauberis
GCA_016837345.1,Streptococcus uberis
GCA_016975695.1,Enterococcus faecalis
GCA_016978435.1,Enterococcus faecium
GCA_009930755.1,Enterococcus gallinarum
GCA_016917965.1,Enterococcus hirae
GCA_020742395.1,Enterococcus columbae
GCA_000759595.1,Lactococcus lactis
GCA_016921055.1,Lactococcus cremoris
GCA_000835975.1,Lactococcus lactis subsp. lactis
GCA_011365045.1,Lactococcus garvieae
GCA_949788765.1,Lactococcus piscium
GCA_030454995.1,Lactococcus plantarum
GCA_012219925.1,Lactococcus raffinolactis
GCA_900166605.1,Marinococcus halophilus
GCA_003664125.1,Planococcus citreus
GCA_001465835.2,Planococcus kocurii
GCA_905113075.1,Aerococcus urinae
GCA_001543285.1,Aerococcus viridans
GCA_901873445.1,Gemella haemolysans
GCA_937975845.1,Atopobium minutum
GCA_015354155.1,Lancefieldella parvula
GCA_963511435.1,Lancefieldella rimae
GCA_017357905.1,Bacillus amyloliquefaciens
GCA_022647425.1,Aneurinibacillus aneurinilyticus
GCA_000742655.1,Bacillus anthracis
GCA_903797695.1,Brevibacillus brevis
GCA_003595605.1,[Bacillus] caldolyticus
GCA_009928555.1,Bacillus cereus
GCA_011524375.1,Niallia circulans
GCA_902796085.1,Heyndrickxia coagulans
