GCA_900327555.1,Cowpox virus
GCA_000842985.1,Potato yellow mosaic virus
GCA_000837705.1,Squash leaf curl virus
GCA_000840085.1,Tobacco yellow dwarf virus
GCA_002824685.1,Tomato yellow leaf curl virus
GCA_002987295.1,Wheat dwarf virus
GCA_002825445.1,Sugarcane streak virus
GCA_000838685.1,Digitaria streak virus
GCA_000838545.1,Bean dwarf mosaic virus
GCA_002821705.1,Bean golden mosaic virus
GCA_002824785.1,Beet curly top virus
GCA_002921665.1,Escherichia phage G4
GCA_002596505.1,Enterobacteria phage S13
GCA_000884975.1,Escherichia phage St-1
GCA_003342615.1,Sinsheimervirus phiX174
GCA_002601605.1,Escherichia phage alpha3
GCA_000847925.1,Spiroplasma phage R8A2B
GCA_002921355.1,Enterobacteria phage f1
GCA_000848985.1,Salmonella phage IKe
GCA_000836925.1,Escherichia phage If1
GCA_000847885.1,Lineavirus I22
GCA_002601645.1,Pseudomonas phage Pf3
GCA_006298385.1,Mammalian orthoreovirus 3 Dearing
GCA_003083975.1,African horse sickness virus 9
GCA_003080935.1,Bluetongue virus 17
GCA_003079155.1,Bluetongue virus 10
GCA_003087355.1,Porcine rotavirus
GCA_002655735.1,Bovine rotavirus
GCA_002635215.1,Human rotavirus A
GCA_000907835.1,Human rotavirus B
GCA_000864225.1,Human rotavirus C
GCA_002666495.1,Porcine rotavirus A
GCA_003087275.1,Porcine rotavirus C
GCA_000870625.1,Rice gall dwarf virus
GCA_002994715.1,Wound tumor virus
GCA_003032535.1,Maize rough dwarf virus
GCA_000852945.1,Rice black streaked dwarf virus
GCA_000850725.1,Rice dwarf virus
GCA_003971645.1,Infectious bursal disease virus
GCA_003971705.1,Infectious pancreatic necrosis virus
GCA_000852145.1,Saccharomyces cerevisiae virus L-A
GCA_000847585.1,Barmah Forest virus
GCA_000862705.1,Eastern equine encephalitis virus
GCA_000921735.1,Middelburg virus
GCA_000881255.1,Highlands J virus
GCA_000862165.1,Ross River virus
GCA_000860285.1,Semliki Forest virus
GCA_000860545.1,Sindbis virus
GCA_000862105.1,Venezuelan equine encephalitis virus
GCA_000850885.1,Western equine encephalitis virus
GCA_024749945.1,Rubella virus
GCA_000860865.1,Equine arteritis virus
GCA_000850185.1,Lactate dehydrogenase-elevating virus
GCA_003971765.1,Lelystad virus
GCA_000862125.1,dengue virus type 1
GCA_000866625.1,dengue virus type 3
GCA_000865065.1,dengue virus type 4
GCA_000862145.1,Japanese encephalitis virus
GCA_004786635.1,Kunjin virus
GCA_000863565.1,Murray Valley encephalitis virus
GCA_000866785.1,Saint Louis encephalitis virus
GCA_000875385.1,West Nile virus
GCA_000860485.1,Powassan virus
GCA_004788235.1,Tick-borne encephalitis virus
GCA_000860805.1,Langat virus
GCA_004786655.1,Louping ill virus
GCA_000857725.1,Yellow fever virus
GCA_031101965.1,Yellow fever virus 17D
GCA_027256975.1,Flavivirus sp.
GCA_900039525.1,Classical swine fever virus
GCA_900199735.1,Bovine viral diarrhea virus 1
GCA_000861245.1,Bovine viral diarrhea virus 1-NADL
GCA_000862965.1,Infectious bronchitis virus
GCA_000862505.1,Bovine coronavirus
GCA_031102025.1,Feline infectious peritonitis virus
GCA_000853505.1,Human coronavirus 229E
GCA_000862345.1,Murine hepatitis virus
GCA_031102075.1,Murine hepatitis virus strain A59
GCA_031102085.1,Porcine respiratory coronavirus
GCA_002985995.1,Transmissible gastroenteritis virus
GCA_000880055.1,Turkey coronavirus
GCA_031102175.1,Canine coronavirus
GCA_031102185.1,Berne virus
GCA_031102215.1,Mumps virus strain Jeryl Lynn
GCA_000850205.1,Human respirovirus 3
GCA_000910675.1,Human parainfluenza virus 4a
GCA_031580015.1,Human parainfluenza virus 4b
GCA_031102235.1,Canine distemper virus strain Onderstepoort
GCA_000854845.1,Measles morbillivirus
GCA_001433625.1,Phocine morbillivirus
GCA_031102245.1,Rinderpest morbillivirus
GCA_000856645.1,Rinderpest virus (strain Kabete O)
GCA_031102255.1,Bovine orthopneumovirus
GCA_002815455.1,Bovine respiratory syncytial virus ATCC51908
GCA_002815475.1,Human orthopneumovirus
GCA_002815495.1,Murine orthopneumovirus
GCA_000906815.1,Chandipura virus
GCA_002816055.1,Piry virus
GCA_031102265.1,Vesicular stomatitis virus
GCA_002815995.1,Vesicular stomatitis Indiana virus
GCA_000923855.1,Vesicular stomatitis New Jersey virus
GCA_031102275.1,Viral hemorrhagic septicemia virus
GCA_000850065.1,Infectious hematopoietic necrosis virus
GCA_900079055.1,Lyssavirus rabies
GCA_000845545.1,Bovine ephemeral fever virus
GCA_000848205.1,Sonchus yellow net nucleorhabdovirus
GCA_002116195.1,Thogotovirus dhoriense
GCA_031085725.1,Influenza B virus
GCA_031323545.1,Influenza C virus
GCA_000856665.2,Influenza C virus (C/Ann Arbor/1/50)
GCA_000854245.1,Thogotovirus thogotoense
GCA_009731655.1,Germiston virus
GCA_004790255.1,Maguari virus
GCA_004789695.1,La Crosse virus
GCA_004789895.1,Snowshoe hare virus
GCA_000898555.1,Aino virus
GCA_002815115.1,Punta Toro virus
GCA_000847345.1,Rift Valley fever virus
GCA_031497085.1,Toscana virus
GCA_000851865.1,Uukuniemi virus
GCA_002831085.1,Hazara virus
GCA_031544335.1,Sapporo rat virus
GCA_000852025.1,Impatiens necrotic spot virus
GCA_000858025.1,Reticuloendotheliosis virus
GCA_031102285.1,Human foamy virus
GCA_004788255.1,Simian foamy virus
GCA_000848165.1,Bovine immunodeficiency virus
GCA_000857525.1,Caprine arthritis encephalitis virus
GCA_000849165.1,Ovine lentivirus
GCA_023156365.1,Equine infectious anemia virus
GCA_000854865.1,Feline immunodeficiency virus
GCA_000864765.1,Human immunodeficiency virus 1
GCA_003109345.1,Human immunodeficiency virus 2
GCA_000863925.1,Simian immunodeficiency virus
GCA_003192965.1,Simian immunodeficiency virus - agm
GCA_000850005.1,Jaagsiekte sheep retrovirus
GCA_000846425.1,Mouse mammary tumor virus
GCA_000912135.1,Baboon endogenous virus strain M7
GCA_000850105.1,Feline leukemia virus
GCA_002987765.1,Feline sarcoma virus (STRAIN HARDY-ZUCKERMAN 4)
GCA_002866945.1,Snyder-Theilen feline sarcoma virus
GCA_031102295.1,Murine leukemia virus
GCA_000848265.1,Abelson murine leukemia virus
GCA_000859065.1,Friend murine leukemia virus
GCA_031102315.1,Friend murine leukemia virus (ISOLATE 57)
GCA_000854185.1,Moloney murine leukemia virus
GCA_002829725.1,Harvey murine sarcoma virus
GCA_002987775.1,Kirsten murine sarcoma virus
GCA_000849425.1,Moloney murine sarcoma virus
GCA_000849885.1,Friend spleen focus-forming virus
GCA_000847465.1,Murine osteosarcoma virus
GCA_000873665.1,RD114 retrovirus
GCA_031102325.1,Xenotropic murine leukemia virus
GCA_000849965.1,Gibbon ape leukemia virus
GCA_000848405.1,Mason-Pfizer monkey virus
GCA_000851925.1,Squirrel monkey retrovirus-H
GCA_002889435.1,Avian myeloblastosis virus
GCA_000853485.1,Avian myelocytomatosis virus 29
GCA_000849005.1,Avian carcinoma Mill Hill virus 2
GCA_002987745.1,Avian sarcoma virus CT10
GCA_000847725.1,Fujinami sarcoma virus
GCA_000855425.1,Rous sarcoma virus
GCA_031102335.1,Rous sarcoma virus - Prague C
GCA_000853665.1,Bovine leukemia virus
GCA_000863585.1,Human T-cell leukemia virus type I
GCA_000847505.1,Human T-lymphotropic virus 2
GCA_031102345.1,Rauscher murine leukemia virus
GCA_031102355.1,Simian retrovirus 1
GCA_000891575.1,Avian leukemia virus
GCA_031102365.1,Lymphoproliferative disease virus
GCA_031102375.1,Human spumaretrovirus
GCA_031102385.1,Simian foamy virus 3
GCA_000870685.1,Woolly monkey sarcoma virus
GCA_031102395.1,Rabbit hemorrhagic disease virus-V351
GCA_000853345.1,Feline calicivirus
GCA_031102405.1,San Miguel sea lion virus
GCA_000864005.1,Norwalk virus
GCA_000854705.1,Carnation mottle virus
GCA_000865645.1,Melon necrotic spot virus
GCA_000853045.1,Turnip crinkle virus
GCA_002786405.1,Enterobacteria phage fr
GCA_000847365.1,Enterobacteria phage GA
GCA_002755235.1,Enterobacteria phage KU1
GCA_002755255.1,Escherichia phage MS2
GCA_000855925.1,Pseudomonas phage PP7
GCA_000868365.1,Pseudomonas phage PRR1
GCA_000862845.1,Enterobacteria phage SP
GCA_031102425.1,Barley yellow dwarf virus
GCA_000850345.1,Bean leafroll virus
GCA_000852565.1,Beet western yellows virus
GCA_021461725.1,Potato leafroll virus
GCA_000848565.1,Soybean dwarf virus
GCA_031102435.1,unidentified tobacco necrosis virus
GCA_000857065.1,Tobacco necrosis virus A
GCA_000848725.1,Tobacco necrosis virus D
GCA_031102445.1,Echovirus E9
GCA_031102455.1,Echovirus E6
GCA_002817305.1,Human parechovirus 1
GCA_000863205.1,Enterovirus E
GCA_031102475.1,Coxsackievirus A9
GCA_008799975.1,Coxsackievirus A21
GCA_003108485.1,Human coxsackievirus A21 Coe
GCA_000861325.1,Coxsackievirus B1
GCA_002816685.1,Coxsackievirus B3
GCA_008766675.1,Coxsackievirus B4
GCA_031102505.1,Coxsackievirus B5
GCA_031102515.1,Swine vesicular disease virus
GCA_031102525.1,Swine vesicular disease virus (STRAIN H/3 '76)
GCA_008766555.1,Echovirus E11
GCA_003108585.1,Poliovirus 1
GCA_000861165.1,Human poliovirus 1 Mahoney
GCA_008766755.1,Human poliovirus 1 strain Sabin
GCA_003108605.1,Poliovirus 2
GCA_008766715.1,Poliovirus 3
GCA_003108505.1,Coxsackievirus A24
GCA_000861205.1,enterovirus D70
GCA_000860505.1,Hepatovirus A
GCA_031102595.1,Simian hepatitis A virus
GCA_031102605.1,Mengo virus
GCA_031102615.1,Foot-and-mouth disease virus A
GCA_031105525.1,Foot and mouth disease virus C
GCA_000863325.1,Foot-and-mouth disease virus O
GCA_008799055.1,Foot-and-mouth disease virus C1
GCA_031105585.1,Foot-and-mouth disease virus SAT 1
GCA_031105595.1,Foot-and-mouth disease virus SAT 3
GCA_014883615.1,Theiler's encephalomyelitis virus
GCA_000861185.1,Theiler's murine encephalomyeltits virus GDVII
GCA_008766695.1,rhinovirus A2
GCA_000861265.1,rhinovirus B14
GCA_000862245.1,rhinovirus A89
GCA_008798215.1,rhinovirus A23
GCA_000853145.1,Cricket paralysis virus
GCA_000856925.1,Maize chlorotic mottle virus
GCA_002830905.1,Southern bean mosaic virus
GCA_000864965.1,Artichoke mottled crinkle virus
GCA_000848185.1,Cucumber necrosis virus
GCA_000854345.1,Cymbidium ringspot virus
GCA_000858805.1,Tomato bushy stunt virus
GCA_002986145.1,Belladonna mottle virus
GCA_002986155.1,Cacao yellow mosaic virus
GCA_000847385.1,Eggplant mosaic virus
GCA_000847445.1,Erysimum latent virus
GCA_000850025.1,Ononis yellow mosaic virus
GCA_000862065.1,Turnip yellow mosaic virus
GCA_002817855.1,Clitoria yellow vein virus
GCA_000849065.1,Kennedya yellow mosaic virus
GCA_000860605.1,Beet yellows virus
GCA_000862265.1,Citrus tristeza virus
GCA_002986105.1,Carnation latent virus
GCA_000870605.1,Chrysanthemum virus B
GCA_000854985.1,Poplar mosaic virus
GCA_000860585.1,Potato virus M
GCA_000866605.1,Potato virus S
GCA_002817565.1,Helenium virus S
GCA_031105625.1,Shallot latent virus
GCA_000854125.1,Lily symptomless virus
GCA_000848285.1,Apple chlorotic leaf spot virus
GCA_000849905.1,Clover yellow mosaic virus
GCA_000865585.1,Cymbidium mosaic virus
GCA_000849045.1,Foxtail mosaic virus
GCA_000849125.1,Narcissus mosaic virus
GCA_000847685.1,Papaya mosaic virus
GCA_000852045.1,Potato aucuba mosaic virus
GCA_000866465.1,Potato virus X
GCA_000855525.1,Strawberry mild yellow edge virus
GCA_000855045.1,White clover mosaic virus
GCA_000865605.1,Lily virus X
GCA_002828265.1,Bean common mosaic virus
GCA_000863145.1,Bean yellow mosaic virus
GCA_000861485.1,Clover yellow vein virus
GCA_000861665.1,Cowpea aphid-borne mosaic virus
GCA_002828505.1,Gloriosa stripe mosaic virus
GCA_000862305.1,Lettuce mosaic virus
GCA_000863225.1,Maize dwarf mosaic virus
GCA_000901615.1,Ornithogalum mosaic virus
GCA_000862045.1,Papaya ringspot virus
GCA_031105635.1,Papaya ringspot virus P
GCA_002828705.1,Papaya ringspot virus W
GCA_000860445.1,Pea seed-borne mosaic virus
GCA_000860525.1,Pepper mottle virus
GCA_000868525.1,Pepper severe mosaic virus
GCA_002828825.1,Plum pox virus
GCA_031105715.1,Plum pox virus D
GCA_002987615.1,Potato virus A
GCA_000862905.1,Potato virus Y
GCA_002987635.1,Potato virus Y strain C
GCA_031105755.1,Potato virus Y strain N
GCA_031105805.1,Potato virus Y strain O
GCA_002987665.1,Soybean mosaic virus
GCA_000862465.1,Soybean mosaic virus N
GCA_000854025.1,Sugarcane mosaic virus
GCA_000861345.1,Tobacco etch virus
GCA_000860705.1,Tobacco vein mottling virus
GCA_002829105.1,Tulip breaking virus
GCA_000863465.1,Turnip mosaic virus
GCA_000861645.1,Zucchini yellow mosaic virus
GCA_000849225.1,Cucumber green mottle mosaic virus
GCA_000859905.1,Odontoglossum ringspot virus
GCA_000859645.1,Pepper mild mottle virus
GCA_002866985.1,Sunn-hemp mosaic virus
GCA_000847545.1,Tobacco mild green mosaic virus
GCA_000854365.1,Tobacco mosaic virus
GCA_000853705.1,Tomato mosaic virus
GCA_002833585.1,Andean potato mottle virus
GCA_000862925.1,Bean pod mottle virus
GCA_000861225.1,Cowpea severe mosaic virus
GCA_000860425.1,Red clover mottle virus
GCA_000861625.1,Squash mosaic virus
GCA_000860385.1,Cowpea mosaic virus
GCA_000852165.1,Red clover necrotic mosaic virus
GCA_000852765.1,Carnation ringspot virus
GCA_000855205.1,Arabis mosaic virus
GCA_000862025.1,Grapevine chrome mosaic virus
GCA_000860305.1,Grapevine fanleaf virus
GCA_000853325.1,Tomato black ring virus
GCA_000860465.1,Tomato ringspot virus
GCA_000856105.1,Tobacco ringspot virus
GCA_000855345.1,Black beetle virus
GCA_000852425.1,Boolarra virus
GCA_003971805.1,Flock House virus
GCA_000847805.1,Nodamura virus
GCA_000855885.1,Pea early-browning virus
GCA_000851445.1,Tobacco rattle virus
GCA_000851565.1,Broad bean mottle virus
GCA_000854965.1,Brome mosaic virus
GCA_000851205.1,Cowpea chlorotic mottle virus
GCA_003109505.1,Cucumber mosaic virus
GCA_000863785.1,Peanut stunt virus
GCA_000853065.1,Tomato aspermy virus
GCA_000865505.1,Tobacco streak virus
GCA_000849545.1,Apple mosaic virus
GCA_000847525.1,Alfalfa mosaic virus
GCA_000855725.1,Barley stripe mosaic virus
GCA_002868675.1,Poa semilatent virus
GCA_000865225.1,Clostridium phage c-st
GCA_000873305.1,Lactobacillus phage LL-H
GCA_000858005.1,Escherichia phage RB69
GCA_000843485.1,Lactococcus phage phiLC3
GCA_000848885.1,Streptococcus phage EJ-1
GCA_000848805.1,Lactobacillus phage phiadh
GCA_009673805.1,Salmonella phage 5
GCA_000915015.1,Garlic virus D
GCA_000847865.1,Garlic virus C
GCA_000928855.1,Garlic virus B
GCA_000848665.1,Garlic virus A
GCA_031105815.1,Sugarcane bacilliform virus
GCA_000847065.1,Cucumber mosaic virus satellite RNA
GCA_002830785.1,Satellite tobacco necrosis virus 2
GCA_000848385.1,Saccharomyces cerevisiae killer virus M1
GCA_000851365.1,Raspberry bushy dwarf virus
GCA_000861865.1,Human astrovirus 1
GCA_000861065.1,Garlic latent virus
GCA_000860765.1,Barley yellow mosaic virus
GCA_000862285.1,Barley mild mosaic virus
GCA_000861405.1,Lucerne transient streak virus
GCA_002004135.1,Solanum nodiflorum mottle virus
GCA_000862585.1,Subterranean clover mottle virus
GCA_000889275.1,Velvet tobacco mottle virus
GCA_000837045.1,Coconut foliar decay virus
GCA_018547915.1,Hepatitis delta virus
GCA_000860565.1,African green monkey polyomavirus
GCA_000861805.1,Junonia coenia densovirus
GCA_000852805.1,Leishmania RNA virus 1 - 4
GCA_000856485.1,Lyssavirus mokola
GCA_002818155.1,Nudaurelia capensis omega virus
GCA_000855505.1,Omsk hemorrhagic fever virus
GCA_000855645.1,Seoul virus 80-39
GCA_000862445.1,Sesbania mosaic virus
GCA_008766335.1,Vilyuisk human encephalomyelitis virus
GCA_000847305.1,Banana bunchy top virus
GCA_000893515.1,Cherry leaf roll virus
GCA_000864805.1,Chicken anemia virus
GCA_000851965.1,Cowpea mottle virus
GCA_031105845.1,Dengue virus
GCA_000847905.1,Duck hepatitis B virus
GCA_023531875.1,Ectromelia virus
GCA_027930525.1,Equid gammaherpesvirus 2
GCA_031105865.1,Feline coronavirus
GCA_002833525.1,Groundnut ringspot virus
GCA_031105875.1,Human astrovirus 2
GCA_003109145.1,Human immunodeficiency virus
GCA_000852185.1,Infectious flacherie virus
GCA_000862945.1,Parsnip yellow fleck virus
GCA_000855365.1,Pear blister canker viroid
GCA_031105885.1,Puma lentivirus
GCA_000854425.1,Raspberry ringspot virus
GCA_000856445.1,Respiratory syncytial virus
GCA_000863185.1,Sweet potato feathery mottle virus
GCA_003971925.1,Tomato chlorotic spot virus
GCA_006465665.1,Variola major virus
GCA_000849185.1,Satellite tobacco mosaic virus
GCA_000848345.1,Tomato apical stunt viroid
GCA_000856425.1,Tomato planta macho viroid
GCA_000848305.1,Coconut tinangaja viroid
GCA_000849865.1,Citrus exocortis viroid
GCA_000856265.1,Potato spindle tuber viroid
GCA_027574605.1,Hop stunt viroid
GCA_000850605.1,Peach latent mosaic viroid
GCA_000854585.1,Apple scar skin viroid
GCA_000853625.1,Avocado sunblotch viroid
GCA_000853905.1,Chrysanthemum stunt viroid
GCA_000852785.1,Citrus bark cracking viroid
GCA_000850865.1,Coleus blumei viroid
GCA_000850525.1,Columnea latent viroid
GCA_000854565.1,Grapevine yellow speckle viroid 1
GCA_000855385.1,Citrus bent leaf viroid
GCA_000856285.1,Hop latent viroid
GCA_002815175.1,Avian paramyxovirus 4
GCA_006443795.1,Human adenovirus D10
GCA_006447835.1,Human adenovirus 15
GCA_006448955.1,Human adenovirus 19
GCA_018603595.1,Human adenovirus E4
GCA_000846805.1,Human adenovirus 12
GCA_026176065.1,Human adenovirus 40
GCA_000857865.1,Human adenovirus 5
GCA_000864485.1,Hyphantria cunea nucleopolyhedrovirus
GCA_000839785.1,Cydia pomonella granulovirus
GCA_900197455.1,Porcine epidemic diarrhea virus
GCA_000861965.1,Heron hepatitis B virus
GCA_000865565.1,Human papillomavirus type 63
GCA_003180515.1,Human papillomavirus 65
GCA_000838725.1,Aleutian mink disease virus
GCA_000837185.1,Amsacta moorei entomopoxvirus
GCA_002833985.1,Choristoneura fumiferana entomopoxvirus
GCA_002662195.1,Lamb rotavirus
GCA_003259085.1,Murine rotavirus
GCA_031105895.1,Human T-lymphotropic virus 3
GCA_019181175.1,Porcine reproductive and respiratory syndrome virus
GCA_000859505.1,Apple stem grooving virus
GCA_000852225.1,Sweet clover necrotic mosaic virus
GCA_002824465.1,Tomato leaf curl virus
GCA_000857165.1,Strawberry latent ringspot virus
GCA_002828245.1,Peanut stripe virus
GCA_000856745.1,Plantago asiatica mosaic virus
GCA_000850625.1,Peanut clump virus
GCA_000874185.2,Corynebacterium phage BFK20
GCA_003004865.1,Fromanvirus D29
GCA_000849985.1,Soil-borne wheat mosaic virus
GCA_000869985.1,Taterapox virus
GCA_020809625.1,Camelpox virus
GCA_001744115.1,Volepox virus
GCA_002634515.1,Rotavirus A
GCA_003159135.1,Rotavirus B
GCA_000851465.1,Ustilago maydis virus H1
GCA_002826785.1,Heliothis zea nudivirus
GCA_000854825.1,Giardia lamblia virus
GCA_002868535.1,Beet cryptic virus 3
GCA_000860885.1,Dasheen mosaic virus
GCA_000849245.1,Turnip vein-clearing virus
GCA_031105915.1,Bean common mosaic virus strain Blackeye
