GCA_004327225.1,Pseudomonas sp. FRB 230
GCA_031845745.1,Streptomyces sp. DSM 41014
GCA_031845825.1,Streptomyces sp. DSM 40712
GCA_031845785.1,Streptomyces sp. DSM 40473
GCA_031845845.1,Streptomyces sp. DSM 3412
GCA_031845875.1,Micromonospora sp. DSM 115978
GCA_031845925.1,Micromonospora sp. DSM 115977
GCA_031845945.1,Halomonas sp. PAR8
GCA_031845965.1,Halomonas sp. PAR7
GCA_031846005.1,Halomonas sp. LES1
GCA_032464875.1,Bosea sp. ZW T0_25
GCA_032464895.1,Phycicoccus sp. M110.8
GCA_032105745.1,Streptomyces sp. Li-HN-5-11
GCA_031932565.1,Streptomyces sp. B1866
GCA_031954525.1,Dyella sp. BiH032
GCA_029821745.1,Candidatus Zipacnadia bacterium
GCA_029821045.1,Candidatus Hebobacteria bacterium
GCA_032670525.1,Paracoccaceae bacterium MT2-5-38
GCA_032670585.1,Paracoccaceae bacterium FR2A1
GCA_031954245.1,Halomonas sp. PAMB 3264
GCA_031954225.1,Halomonas sp. PAMB 3232
GCA_031822455.1,Pseudomonas sp. HTZ1
GCA_029821755.1,Candidatus Zipacnadum vermilionense
GCA_029821875.1,Candidatus Hebobacterum abditum
GCA_031844685.1,Streptomyces sp. ITFR-21
GCA_031844705.1,Streptomyces sp. ITFR-16
GCA_031844725.1,Streptomyces sp. ITFR-6
GCA_031761875.1,Bacillaceae bacterium IKA-2
GCA_031845245.1,Herbaspirillum huttiense NC40101
GCA_031845285.1,Herbaspirillum huttiense F1
GCA_031851795.1,Pontibacter sp. G13
GCA_031767055.1,Streptomyces sp. CGMCC 4.1456
GCA_031656215.1,Mesorhizobium sp. WR6
GCA_019880205.1,Pantoea alfalfae
GCA_032436805.1,Streptomyces sp. P17
GCA_032248815.1,Arcobacter sp. AZ-2023
GCA_031585635.1,Paraburkholderia sp. FT54
GCA_031597775.1,Streptomyces sp. BB1-1-1
GCA_031583705.1,Herbaspirillum huttiense SE1
GCA_031583775.1,Pseudomonas sp. SZMC_28357
GCA_031844665.1,Corynebacterium sp. Z-1
GCA_031580825.1,Halothece sp. Uz-M2-17
GCA_031765195.1,Bacillus sp. SG20001
GCA_031763325.1,Rhodococcus sp. SG20037
GCA_031766055.1,Pseudomonas sp. SG20052
GCA_031764535.1,Pseudomonas sp. SG20056
GCA_031844745.1,Chryseobacterium sp. SG20098
GCA_031586415.1,Thermosynechococcus sp. QKsg1
GCA_031826635.1,Flavobacteriaceae bacterium HL-DH14
GCA_031826515.1,Flavobacteriaceae bacterium HL-DH10
GCA_031655335.1,Thalassospiraceae bacterium LMO-SO8
GCA_031460975.1,Thermosynechococcus sp. HY213
GCA_031583555.1,Thermosynechococcus sp. HY593
GCA_031583535.1,Thermosynechococcus sp. HY591
GCA_031583515.1,Thermosynechococcus sp. QS41
GCA_031460315.1,Thermosynechococcus sp. JY1334
GCA_031460935.1,Thermosynechococcus sp. JY1332
GCA_031583475.1,Thermosynechococcus sp. JY1331
GCA_031460915.1,Thermosynechococcus sp. TG252
GCA_031583495.1,Thermosynechococcus sp. TG218
GCA_031583455.1,Thermosynechococcus sp. TG215
GCA_031583435.1,Thermosynechococcus sp. GLH87
GCA_031583415.1,Thermosynechococcus sp. GLH333
GCA_031583395.1,Thermosynechococcus sp. GLH187
GCA_031583355.1,Thermosynechococcus sp. WL17
GCA_031583375.1,Thermosynechococcus sp. WL15
GCA_031583335.1,Thermosynechococcus sp. WL11
GCA_031583295.1,Thermosynechococcus sp. PKX95
GCA_031583315.1,Thermosynechococcus sp. PKX91
GCA_031583255.1,Thermosynechococcus sp. PKX82
GCA_031583225.1,Thermosynechococcus sp. PP555
GCA_031583205.1,Thermosynechococcus sp. PP551
GCA_031432345.1,Thermosynechococcus sp. PP42
GCA_031583185.1,Thermosynechococcus sp. PP22
GCA_031432265.1,Agromyces sp. LY-1358
GCA_031432255.1,Agromyces sp. LY-1074
GCA_031470965.1,Nesterenkonia sp. LY-0111
GCA_031432315.1,Serpentinicella sp. ANB-PHB4
GCA_031344955.1,Akkermansia sp. EB-AMDK43
GCA_963454945.1,Streptomyces sp. N2A
GCA_031432975.1,Buttiauxella sp. R73
GCA_031432835.1,Enterobacter cloacae complex sp. EB5
GCA_031582965.1,Bacillus sp. NEB1478
GCA_031822435.1,Paracoccus sp. MBLB3053
GCA_031631895.1,Aequorivita sp. S2608
GCA_032080575.1,Aequorivita sp. F6058
GCA_031631795.1,Marinobacter sp. F60267
GCA_031843465.1,Xanthomonas sp. WCS2018Noco2-28
GCA_031843525.1,Xanthomonas sp. WCS2018Noco2-27
GCA_031843545.1,Xanthomonas sp. WCS2018Noco2-18
GCA_031843485.1,Xanthomonas sp. WCS2018Noco2-15
GCA_031843505.1,Xanthomonas sp. WCS2018Noco2-14
GCA_031843565.1,Xanthomonas sp. WCS2018Cala2-7
GCA_031843645.1,Xanthomonas sp. WCS2018Cala2-21
GCA_031843605.1,Xanthomonas sp. WCS2018Cala2-20
GCA_031843585.1,Xanthomonas sp. WCS2018Cala2-18
GCA_031843625.1,Xanthomonas sp. WCS2018Cala2-13
GCA_031843665.1,Xanthomonas sp. WCS2017Noco2-62
GCA_031843685.1,Xanthomonas sp. WCS2017Cala2-12
GCA_031843765.1,Sphingobium sp. WCS2017Hpa-17
GCA_031843725.1,Rhizobium sp. WCS2018Hpa-8
GCA_031843705.1,Rhizobium sp. WCS2018Hpa-16
GCA_031843745.1,Microbacterium sp. WCS2018Hpa-9
GCA_031843845.1,Microbacterium sp. WCS2018Hpa-23
GCA_031843785.1,Methylobacterium sp. WCS2018Hpa-22
GCA_031843805.1,Arthrobacter sp. WCS2018Hpa-7
GCA_031843825.1,Arthrobacter sp. WCS2018Hpa-5b
GCA_031843865.1,Arthrobacter sp. WCS2018Hpa-5a
GCA_031843885.1,Aeromicrobium sp. WCS2018Hpa-33
GCA_031843905.1,Aeromicrobium sp. WCS2018Hpa-31
GCA_031843925.1,Acidovorax sp. WCS2018Noco2-43
GCA_031843965.1,Acidovorax sp. WCS2018Noco2-34
GCA_031843985.1,Acidovorax sp. WCS2018Noco2-17
GCA_031843945.1,Acidovorax sp. WCS2018Noco2-16
GCA_031844005.1,Acidovorax sp. WCS2018Noco2-12
GCA_031844045.1,Acidovorax sp. WCS2018Cala2-18
GCA_031844025.1,Acidovorax sp. WCS2018Cala2-16
GCA_032142695.1,Methylomonas sp. MV1
GCA_032142715.1,Methylomonas sp. MO1
GCA_031432425.1,Xinfangfangia sp. LG-4
GCA_031344075.1,Clostridium sp. 5N-1
GCA_031326205.1,Flavobacterium sp. 20NA77.7
GCA_031583025.1,Mycobacterium sp. Z3061
GCA_031326225.1,Undibacterium sp. 20NA77.5
GCA_031537795.1,Candidatus Deianiraeaceae bacterium
GCA_031323905.1,Bacillus sp. MHSD_37
GCA_031345095.1,Peribacillus sp. R9-11
GCA_031432995.1,Citricoccus sp. I39-566
GCA_031344135.1,Christiangramia sp. SM2212
GCA_031628915.1,Pusillimonas sp. SM2304
GCA_031528575.1,Endozoicomonadaceae bacterium Pac_P3-11-1
GCA_031324165.1,Fredinandcohnia sp. QZ13
GCA_031199965.1,Paenibacillus sp. D2_2
GCA_031582905.1,Cellulomonas sp. ATA003
GCA_031324065.1,Chryseobacterium sp. ES2
GCA_031157525.1,Marinobacter sp. F26243
GCA_031798955.1,Acinetobacter sp. V117_2
GCA_031798975.1,Acinetobacter sp. V110_1
GCA_031799025.1,Acinetobacter sp. V115_6
GCA_031798995.1,Acinetobacter sp. V104_13
GCA_031799035.1,Acinetobacter sp. V104_3
GCA_031799005.1,Acinetobacter sp. V102_4
GCA_031801555.1,Acinetobacter sp. V91_13
GCA_031799075.1,Acinetobacter sp. V91_7
GCA_031799095.1,Acinetobacter sp. V91_4B
GCA_031119555.1,Candidatus Dactylopiibacterium sp.
GCA_031195445.1,Acuticoccus sp. MNP-M23
GCA_031629035.1,Porphyromonadaceae sp. NP-X
GCA_032229285.1,Rheinheimera sp. MMS21-TC3
GCA_031628995.1,Bacillota bacterium LX-D
GCA_031119065.1,Cellulosimicrobium sp. XJ-DQ-B-000
GCA_002735925.1,Sporanaerobium hydrogeniformans
GCA_031157315.1,Paenibacillus sp. LHD-38
GCA_031157355.1,Hyphomicrobium sp. LHD-15
GCA_031157255.1,Bradyrhizobium sp. LHD-71
GCA_031157275.1,Streptomyces sp. LHD-70
GCA_031157375.1,Sphingosinicella sp. LHD-64
GCA_031584085.1,Vibrio sp. FNV 38
GCA_032249755.1,Cyanobacteriota bacterium PSP.bin.10
GCA_031085165.1,Pseudomonas sp. 102515
GCA_030910085.1,Stenotrophomonas maltophilia group sp. RNC7
GCA_030929505.1,Mesorhizobium sp. LHD-90
GCA_030929615.1,Dyadobacter sp. LHD-138
GCA_030929555.1,Paenibacillus sp. LHD-117
GCA_030929605.1,Flavobacterium sp. LHD-80
GCA_030929595.1,Flavobacterium sp. LHD-85
GCA_031085175.1,Phytohabitans sp. ZYX-F-186
GCA_032852305.1,Parasphingorhabdus sp. SCSIO 66989
GCA_031198805.1,Pseudoalteromonas sp. HL-AS2
GCA_031198785.1,Pseudoalteromonas sp. HL-AS1
GCA_030931715.1,Tissierella sp. MB52-C2
GCA_031085155.1,Mesonia sp. MT50
GCA_030913705.1,Anaerocolumna sp. MB42-C2
GCA_030913655.1,Clostridium sp. MB40-C1
GCA_030913635.1,Sedimentibacter sp. MB35-C1
GCA_032667185.1,Neobacillus sp. YIM B06451
GCA_030918045.1,Cyanobacteriota bacterium erpe_2018_sw_39hr_WHONDRS-SW48-000098_B_bin.30
GCA_030917395.1,Cyanobacteriota bacterium erpe_2018_sw_21hr_WHONDRS-SW48-000092_B_bin.40
GCA_031198435.1,Pleionea sp. HL-JVS1
GCA_030908465.1,Anaerotignum sp. MB30-C6
GCA_033052755.1,Idiomarina sp. HP20-50
GCA_030910025.1,Enterococcus sp. SB12
GCA_032028955.1,Escherichia sp. CN4
GCA_032029675.1,Enterobacter sp. CM11
GCA_032029835.1,Escherichia sp. AM3
GCA_030915405.1,Neobacillus sp. OS1-33
GCA_030915425.1,Neobacillus sp. OS1-32
GCA_030915445.1,Clostridium sp. OS1-26
GCA_030915505.1,Neobacillus sp. OS1-2
GCA_030915485.1,Neobacillus sp. PS3-40
GCA_030915465.1,Neobacillus sp. PS3-34
GCA_030915385.1,Neobacillus sp. PS3-12
GCA_030915525.1,Neobacillus sp. PS2-9
GCA_030908405.1,Aminobacterium sp. MB27-C1
GCA_030908385.1,Mangrovimonas sp. YM274
GCA_030908365.1,Aestuariibaculum sp. YM273
GCA_030908545.1,Nitrosomonas sp. sh817
GCA_031470375.1,Paenibacillus sp. YX.27
GCA_030908625.1,Paludicola sp. MB14-C6
GCA_030913685.1,Oscillospiraceae bacterium MB24-C1
GCA_030863805.1,Kineothrix sp. MB12-C1
GCA_032662945.1,Candidatus Solibacter sp. T6-8.82
GCA_032663185.1,Candidatus Solibacter sp. T6-8.71
GCA_032665965.1,Candidatus Solibacter sp. T6-6.78
GCA_032666425.1,Candidatus Solibacter sp. T6-6.58
GCA_032662865.1,Tissierella sp. T6-8.95
GCA_032663425.1,Tissierella sp. T6-8.47
GCA_032664645.1,Tissierella sp. T6-7.89
GCA_032665345.1,Tissierella sp. T6-7.6
GCA_032665265.1,Tissierella sp. T6-7.11
GCA_032665885.1,Tissierella sp. T6-6.81
GCA_032664205.1,Thermosyntropha sp. T6-8.6
GCA_032665125.1,Thermosyntropha sp. T6-7.28
GCA_032663105.1,Syntrophomonas sp. T6-8.72
GCA_032665025.1,Syntrophomonas sp. T6-7.37
GCA_032665105.1,Syntrophomonas sp. T6-7.31
GCA_032665785.1,Syntrophomonas sp. T6-6.90
GCA_032667045.1,Syntrophomonas sp. T6-6.7
GCA_032666165.1,Syntrophomonas sp. T6-6.67
GCA_032663085.1,Sporobacter sp. T6-8.76
GCA_032663905.1,Sporobacter sp. T6-8.24
GCA_032663345.1,Sedimentibacter sp. T6-8.55
GCA_032664705.1,Sedimentibacter sp. T6-7.79
GCA_032664785.1,Sedimentibacter sp. T6-7.63
GCA_032665245.1,Sedimentibacter sp. T6-7.17
GCA_032663065.1,Ruminiclostridium sp. T6-8.81
GCA_032663025.1,Ruminiclostridium sp. T6-8.79
GCA_032663155.1,Ruminiclostridium sp. T6-8.68
GCA_032663665.1,Ruminiclostridium sp. T6-8.35
GCA_032663705.1,Ruminiclostridium sp. T6-8.34
GCA_032663625.1,Ruminiclostridium sp. T6-8.30
GCA_032665325.1,Ruminiclostridium sp. T6-7.8
GCA_032664945.1,Ruminiclostridium sp. T6-7.47
GCA_032665375.1,Ruminiclostridium sp. T6-7.4
GCA_032665205.1,Ruminiclostridium sp. T6-7.24
GCA_032665725.1,Ruminiclostridium sp. T6-6.91
GCA_032666385.1,Ruminiclostridium sp. T6-6.64
GCA_032666565.1,Ruminiclostridium sp. T6-6.42
GCA_032666785.1,Ruminiclostridium sp. T6-6.25
GCA_032667165.1,Ruminiclostridium sp. T6-6.20
GCA_032666905.1,Ruminiclostridium sp. T6-6.12
GCA_032663205.1,Pelotomaculum sp. T6-8.66
GCA_032664685.1,Pelotomaculum sp. T6-7.77
GCA_032666285.1,Pelotomaculum sp. T6-6.63
GCA_032663005.1,Paenibacillus sp. T6-8.80
GCA_032664075.1,Paenibacillus sp. T6-8.13
GCA_032665005.1,Paenibacillus sp. T6-7.45
GCA_032665165.1,Paenibacillus sp. T6-7.26
GCA_032664865.1,Oxobacter sp. T6-7.56
GCA_032664665.1,Oscillospiraceae bacterium T6-7.81
GCA_032664765.1,Oscillospiraceae bacterium T6-7.68
GCA_032662765.1,Lachnoclostridium sp. T6-8.114
GCA_032662745.1,Lachnoclostridium sp. T6-8.113
GCA_032664885.1,Lachnoclostridium sp. T6-7.54
GCA_032666865.1,Lachnoclostridium sp. T6-6.15
GCA_032662985.1,Intestinimonas sp. T6-8.87
GCA_032663645.1,Intestinimonas sp. T6-8.44
GCA_032665225.1,Herbinix sp. T6-7.18
GCA_032667225.1,Herbinix sp. T6-6.5
GCA_032665465.1,Haloplasma sp. T6-7.5
GCA_032666485.1,Haloplasma sp. T6-6.55
GCA_032663145.1,Gracilibacter sp. T6-8.73
GCA_032665085.1,Gracilibacter sp. T6-7.33
GCA_032666725.1,Flavonifractor sp. T6-6.31
GCA_032666705.1,Flavonifractor sp. T6-6.29
GCA_032666745.1,Flavonifractor sp. T6-6.27
GCA_032663125.1,Faecalibacterium sp. T6-8.74
GCA_032664925.1,Faecalibacterium sp. T6-7.53
GCA_032665285.1,Faecalibacterium sp. T6-7.13
GCA_032665945.1,Faecalibacterium sp. T6-6.86
GCA_032665985.1,Desulfovibrio sp. T6-6.79
GCA_032663045.1,Desulfotomaculum sp. T6-8.77
GCA_032666945.1,Desulfotomaculum sp. T6-6.10
GCA_032662925.1,Desulfitobacterium sp. T6-8.88
GCA_032666645.1,Desulfitobacterium sp. T6-6.32
GCA_032663925.1,Dehalobacter sp. T6-8.20
GCA_032664425.1,Dehalobacter sp. T6-7.105
GCA_032663445.1,Coprobacillus sp. T6-8.51
GCA_032666665.1,Coprobacillus sp. T6-6.37
GCA_032662805.1,Clostridium sp. T6-8.99
GCA_032662885.1,Clostridium sp. T6-8.94
GCA_032663225.1,Clostridium sp. T6-8.67
GCA_032663275.1,Clostridium sp. T6-8.62
GCA_032663785.1,Clostridium sp. T6-8.28
GCA_032663825.1,Clostridium sp. T6-8.27
GCA_032664405.1,Clostridium sp. T6-8.2
GCA_032663985.1,Clostridium sp. T6-8.17
GCA_032664105.1,Clostridium sp. T6-8.12
GCA_032662705.1,Clostridium sp. T6-8.111
GCA_032662845.1,Clostridium sp. T6-8.108
GCA_032664325.1,Clostridium sp. T6-8.1
GCA_032664505.1,Clostridium sp. T6-7.92
GCA_032664725.1,Clostridium sp. T6-7.72
GCA_032664965.1,Clostridium sp. T6-7.51
GCA_032665065.1,Clostridium sp. T6-7.34
GCA_032665185.1,Clostridium sp. T6-7.29
GCA_032665665.1,Clostridium sp. T6-6.93
GCA_032665805.1,Clostridium sp. T6-6.88
GCA_032666965.1,Clostridium sp. T6-6.8
GCA_032666125.1,Clostridium sp. T6-6.72
GCA_032666305.1,Clostridium sp. T6-6.59
GCA_032666465.1,Clostridium sp. T6-6.57
GCA_032666585.1,Clostridium sp. T6-6.44
GCA_032667245.1,Clostridium sp. T6-6.4
GCA_032666765.1,Clostridium sp. T6-6.26
GCA_032662825.1,Clostridiales bacterium T6-8.98
GCA_032662715.1,Clostridiales bacterium T6-8.112
GCA_032664825.1,Clostridiales bacterium T6-7.60
GCA_032665045.1,Clostridiales bacterium T6-7.35
GCA_032666625.1,Clostridiales bacterium T6-6.39
GCA_032666685.1,Clostridiales bacterium T6-6.35
GCA_032665505.1,Clostridiales bacterium T6-6.105
GCA_032666105.1,Christensenella sp. T6-6.77
GCA_032666985.1,Chloroflexota bacterium T6-6.6
GCA_032666605.1,Chloroflexota bacterium T6-6.41
GCA_032665565.1,Caldicoprobacter sp. T6-6.101
GCA_032664845.1,Bacillota bacterium T6-7.57
GCA_032665545.1,Bacillota bacterium T6-6.98
GCA_032666175.1,Bacillota bacterium T6-6.66
GCA_032665625.1,Anaerotruncus sp. T6-6.95
